public_path,logical_source,source_sha256,public_sha256,transformation,evidence_role,storage_policy,rights_holder,upstream_license,release_license,redistribution_status
artifacts/derived/phase0/sealed_confirmation.json,private-archive:v10_proposal/phase0/results/sealed_confirmation.json,f8bd8bc61e0a42727f2e39dd8996478dcd128de5cf231cf029ae6ae7c543c43c,f8bd8bc61e0a42727f2e39dd8996478dcd128de5cf231cf029ae6ae7c543c43c,byte_exact_copy,historical_output,exact,Mikhail Gorodnichev,NONE,CC-BY-4.0,include_in_open_deposit
supplementary/phase2/results/selective_policy.json,private-archive:v10_proposal/phase2/results/selective_policy.json,3a4bbc641381c9d091ce7c6f7d664ea8f6111a30121d39ee00f77d5180d894a8,3a4bbc641381c9d091ce7c6f7d664ea8f6111a30121d39ee00f77d5180d894a8,byte_exact_copy,historical_output,exact,Mikhail Gorodnichev,NONE,CC-BY-4.0,include_in_open_deposit
artifacts/derived/v5/V5_ANALYSIS.md,private-archive:v5/results/V5_ANALYSIS.md,1f68d80ad22ed60370af9059a050c21b3d000e6947771c00d91b27c092032a49,1f68d80ad22ed60370af9059a050c21b3d000e6947771c00d91b27c092032a49,byte_exact_copy,historical_output,exact,Mikhail Gorodnichev,NONE,CC-BY-4.0,include_in_open_deposit
artifacts/historical_scripts/preregister_sealed.py,private-archive:v10_proposal/phase0/preregister_sealed.py,d634ac2fa8aecbf269c96883ef76369fcf800844af6a0072929f20b246892914,d634ac2fa8aecbf269c96883ef76369fcf800844af6a0072929f20b246892914,byte_exact_copy,historical_source,exact,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
artifacts/historical_scripts/collect_sealed.py,private-archive:v10_proposal/phase0/collect_sealed.py,ecf1e08ad81316160e60118047489e74d879ef7491fb8920b56bbaaa9068fe5d,ecf1e08ad81316160e60118047489e74d879ef7491fb8920b56bbaaa9068fe5d,byte_exact_copy,historical_source,exact,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
artifacts/historical_scripts/evaluate_sealed.py,private-archive:v10_proposal/phase0/evaluate_sealed.py,81ba1f12771c273e3578860a939bb4bdf616a147b0b70da64ee991f6ae56b333,81ba1f12771c273e3578860a939bb4bdf616a147b0b70da64ee991f6ae56b333,byte_exact_copy,historical_source,exact,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
artifacts/historical_scripts/phase2_common.py,private-archive:v10_proposal/phase2/phase2_common.py,dc60b9a3be9af9dfb31e0facfa74ca4a8b79cb21c4f4189d5a233190be9426fa,dc60b9a3be9af9dfb31e0facfa74ca4a8b79cb21c4f4189d5a233190be9426fa,byte_exact_copy,historical_source,exact,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
supplementary/phase2/phase2_common.py,private-archive:v10_proposal/phase2/phase2_common.py,dc60b9a3be9af9dfb31e0facfa74ca4a8b79cb21c4f4189d5a233190be9426fa,9e64960aafe9b61c4ef9d9243fe1ccf59e877baeba02615fe81cd39b40f7c6cc,path_and_io_adapted_for_public_layout,portable_source,git_lf,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
artifacts/historical_scripts/audit_claims.py,private-archive:v10_proposal/phase0/audit_claims.py,87e3945f2703f8c7170987b99d8d3e4b9645ca5e847b8c75ff396354d1f776ac,87e3945f2703f8c7170987b99d8d3e4b9645ca5e847b8c75ff396354d1f776ac,byte_exact_copy,historical_source,exact,Mikhail Gorodnichev,NONE,MIT,include_in_open_deposit
artifacts/derived/phase0/aar_funnel.json,private-archive:v10_proposal/phase0/results/aar_funnel.json,616134b0f8636852a39ff53a8704e0bd694de74ea531016b0a54e4c1b2f4b78f,e55be3d5b367035260834a982ac3b64010bc1a696d9e867186e906fbb429070f,regenerated_with_corrected_aar_schema_v2,corrected_rerun,git_lf,Mikhail Gorodnichev,NONE,CC-BY-4.0,include_in_open_deposit
